Brand,Model,VAC,Powertrain,Segment,Energy consumption (Wh/km),Electric range (km),Battery capacity (kWh),Battery chemistry,Energy density (Wh/kg),Curb weight (kg),AH,BJ,CQ,FJ,GD,GS,GX,GZ,HA,HB,HE,HI,HL,HN,JL,JS,JX,LN,NM,NX,QH,SC,SD,SH,SN,TJ,XJ,XZ,YN,ZJ,Total_Registrations,Market,N_Countries,Battery_Chem_Code,CO2_g_km_EU,CO2_g_km_CN,Segment_Label
五菱,宏光MINI,LZW7004EVPKAK,BEV,1,88.0,120.0,9.8208,LFP,109.0,665.0,26,52.0,38,22.0,44,12.0,86,30,141,215.0,120,13,21.0,68.0,33.0,28,22.0,120.0,5.0,16.0,14.0,145,148.0,20.0,71.0,90,16.0,5.0,114,72,1807.0,CN,30,0,20.503999999999998,51.128,Mini
五菱,宏光MINI,LZW7004EVPKAM,BEV,1,93.0,170.0,14.7033,LFP,112.0,700.0,67,68.0,144,31.0,99,23.0,145,48,223,286.0,174,32,17.0,117.0,49.0,43,39.0,115.0,11.0,26.0,18.0,199,211.0,28.0,118.0,99,27.0,2.0,150,111,2720.0,CN,30,0,21.669,54.033,Mini
五菱,五菱缤果,LZW7007EVB3KAB,BEV,2,118.0,312.0,34.2389,LFP,130.0,1120.0,910,374.0,1167,742.0,1247,238.0,3700,618,2234,2636.0,1521,1059,345.0,1033.0,218.0,705,394.0,582.0,91.0,181.0,203.0,2031,1119.0,261.0,1082.0,2144,269.0,69.0,1010,1373,29556.0,CN,30,0,27.494,68.55799999999999,Small
五菱,五菱晴空,LZW7005EVC2MBM,BEV,1,103.0,300.0,28.737,LFP,130.0,888.0,41,36.0,29,32.0,82,10.0,312,19,116,119.0,36,15,11.0,29.0,9.0,59,35.0,47.0,1.0,3.0,4.0,80,58.0,34.0,52.0,60,8.0,1.0,30,55,1423.0,CN,30,0,23.999,59.842999999999996,Mini
小鹏,小鹏G9,NHQ6490BEVGH,BEV,5,152.0,702.0,98.0,NCM-M,160.0,2205.0,125,863.0,422,109.0,1853,18.0,101,127,149,428.0,52,181,27.0,249.0,9.0,169,114.0,45.0,30.0,9.0,24.0,746,122.0,1296.0,308.0,141,12.0,,108,602,8439.0,CN,30,2,35.416,88.312,Executive
小鹏,小鹏P5,NHQ7000BEVDG,BEV,4,134.0,460.0,57.3252,LFP,135.0,1734.0,174,627.0,362,107.0,2203,11.0,69,108,125,396.0,107,295,24.0,188.0,170.0,252,64.0,77.0,22.0,11.0,26.0,456,107.0,1024.0,355.0,261,11.0,,210,655,8497.0,CN,30,0,31.222,77.854,Large
小鹏,小鹏P7,NHQ7000BEVEE,BEV,5,139.0,480.0,61.6032,LFP,126.0,1895.0,210,611.0,595,89.0,1967,17.0,107,115,182,485.0,107,218,16.0,294.0,20.0,265,110.0,31.0,25.0,23.0,42.0,804,109.0,1159.0,239.0,500,7.0,,170,878,9395.0,CN,30,0,32.387,80.759,Executive
小鹏,小鹏P7,NHQ7000BEVEH,BEV,5,133.0,625.0,77.3063,NCM-M,160.0,1915.0,176,755.0,527,92.0,2181,24.0,132,110,208,478.0,107,216,19.0,283.0,44.0,276,114.0,39.0,33.0,20.0,42.0,927,137.0,1311.0,310.0,524,4.0,,168,914,10171.0,CN,30,2,30.989,77.27300000000001,Executive
雪佛兰,畅巡,SGM7007LBBEV,BEV,3,126.0,518.0,60.6992,NCM-M,163.0,1620.0,218,908.0,18,3.0,202,,21,70,74,8.0,11,9,2.0,,,336,101.0,,,,47.0,158,150.0,992.0,,54,1.0,1.0,1,43,3428.0,CN,30,2,29.358,73.206,Medium
长安,奔奔,SC7001ABHBEV,BEV,1,106.0,310.0,31.713,LFP,133.0,1160.0,30,104.0,365,9.0,41,8.0,58,6,317,8.0,105,20,1.0,6.0,11.0,21,6.0,7.0,9.0,2.0,,57,112.0,1.0,18.0,188,23.0,1.0,19,110,1663.0,CN,30,0,24.698,61.586,Mini
长安,长安LUMIN,SC7001FALBEV,BEV,1,93.0,155.0,12.92,LFP,115.0,805.0,63,9.0,59,12.0,7,2.0,35,7,249,15.0,80,10,3.0,13.0,1.0,12,9.0,4.0,2.0,4.0,,27,38.0,7.0,16.0,59,3.0,,22,41,809.0,CN,30,0,21.669,54.033,Mini
长安,长安LUMIN,SC7001FAMBEV,BEV,1,97.0,210.0,18.9441,LFP,125.0,840.0,1579,282.0,1520,341.0,230,86.0,1128,278,5465,392.0,1678,231,73.0,422.0,87.0,362,287.0,107.0,83.0,93.0,23.0,726,729.0,132.0,294.0,1078,93.0,4.0,599,695,19097.0,CN,30,0,22.601,56.357,Mini
长安,长安LUMIN,SC7001FAQBEV,BEV,1,107.0,301.0,29.9525,LFP,140.0,922.0,58,9.0,85,16.0,13,5.0,97,18,231,20.0,58,10,1.0,12.0,4.0,18,24.0,4.0,1.0,11.0,,28,33.0,12.0,14.0,41,6.0,1.0,24,30,884.0,CN,30,0,24.931,62.167,Mini
长安,长安深蓝SL03,SC7006AABBEV,BEV,4,123.0,515.0,58.9109,NCM-H,171.0,1725.0,189,362.0,1107,135.0,86,11.0,94,107,153,165.0,41,171,11.0,128.0,6.0,131,65.0,60.0,7.0,29.0,12.0,219,54.0,1513.0,77.0,107,18.0,,99,184,5341.0,CN,30,3,28.659,71.463,Large
智己,智己LS7,CSA6501LBEV2,BEV,5,175.0,625.0,100.0,NCM-H,195.0,2630.0,42,236.0,227,53.0,91,6.0,13,47,85,62.0,42,45,5.0,92.0,2.0,215,58.0,20.0,3.0,33.0,2.0,286,76.0,1620.0,112.0,53,4.0,,78,165,3773.0,CN,30,3,40.775,101.675,Executive
